date,name,category,value
2020-04-12,PR,PR,897
2020-04-12,RI,RI,2665
2020-04-12,SC,SC,3319
2020-04-12,SD,SD,730
2020-04-12,TN,TN,5308
2020-04-12,TX,TX,13484
2020-04-12,UT,UT,2303
2020-04-12,VA,VA,5274
2020-04-12,VI,VI,51
2020-04-12,VT,VT,727
2020-04-12,WA,WA,10224
2020-04-12,WI,WI,3341
2020-04-12,WV,WV,611
2020-04-12,WY,WY,261
2020-04-11,AK,AK,257
2020-04-11,AL,AL,3191
2020-04-11,AR,AR,1226
2020-04-11,AS,AS,0
2020-04-11,AZ,AZ,3393
2020-04-11,CA,CA,19472
2020-04-11,CO,CO,6510
2020-04-11,CT,CT,11510
2020-04-11,DC,DC,1778
2020-04-11,DE,DE,1479
2020-04-11,FL,FL,18494
2020-04-11,GA,GA,12159
2020-04-11,GU,GU,133
2020-04-11,HI,HI,465
2020-04-11,IA,IA,1510
2020-04-11,ID,ID,1396
2020-04-11,IL,IL,19180
2020-04-11,IN,IN,7435
2020-04-11,KS,KS,1268
2020-04-11,KY,KY,1693
2020-04-11,LA,LA,20014
2020-04-11,MA,MA,22860
2020-04-11,MD,MD,7694
2020-04-11,ME,ME,616
2020-04-11,MI,MI,23993
2020-04-11,MN,MN,1427
2020-04-11,MO,MO,4024
2020-04-11,MP,MP,11
2020-04-11,MS,MS,2642
2020-04-11,MT,MT,377
2020-04-11,NC,NC,4312
2020-04-11,ND,ND,293
2020-04-11,NE,NE,700
2020-04-11,NH,NH,885
2020-04-11,NJ,NJ,58151
2020-04-11,NM,NM,1091
2020-04-11,NV,NV,2700
2020-04-11,NY,NY,180458
2020-04-11,OH,OH,6187
2020-04-11,OK,OK,1868
2020-04-11,OR,OR,1371
2020-04-11,PA,PA,21655
2020-04-11,PR,PR,788
2020-04-11,RI,RI,2349
2020-04-11,SC,SC,3207
2020-04-11,SD,SD,626
2020-04-11,TN,TN,5114
2020-04-11,TX,TX,12561
2020-04-11,UT,UT,2206
2020-04-11,VA,VA,5077
2020-04-11,VI,VI,51
2020-04-11,VT,VT,711
2020-04-11,WA,WA,10224
2020-04-11,WI,WI,3213
2020-04-11,WV,WV,577
2020-04-11,WY,WY,261
2020-04-10,AK,AK,246
2020-04-10,AL,AL,2968
2020-04-10,AR,AR,1171
2020-04-10,AS,AS,0
2020-04-10,AZ,AZ,3112
2020-04-10,CA,CA,19472
2020-04-10,CO,CO,6510
2020-04-10,CT,CT,10538
2020-04-10,DC,DC,1660
2020-04-10,DE,DE,1326
2020-04-10,FL,FL,17531
2020-04-10,GA,GA,11483
2020-04-10,GU,GU,130
2020-04-10,HI,HI,442
2020-04-10,IA,IA,1388
2020-04-10,ID,ID,1353
2020-04-10,IL,IL,17887
2020-04-10,IN,IN,6907
2020-04-10,KS,KS,1166
2020-04-10,KY,KY,1693
2020-04-10,LA,LA,19253
2020-04-10,MA,MA,20974
2020-04-10,MD,MD,6968
2020-04-10,ME,ME,586
2020-04-10,MI,MI,22783
2020-04-10,MN,MN,1336
2020-04-10,MO,MO,3799
2020-04-10,MP,MP,11
2020-04-10,MS,MS,2469
2020-04-10,MT,MT,365
2020-04-10,NC,NC,3908
2020-04-10,ND,ND,278
2020-04-10,NE,NE,635
2020-04-10,NH,NH,819
2020-04-10,NJ,NJ,54588
2020-04-10,NM,NM,1091
2020-04-10,NV,NV,2584
2020-04-10,NY,NY,170512
2020-04-10,OH,OH,5836
2020-04-10,OK,OK,1794
2020-04-10,OR,OR,1321
2020-04-10,PA,PA,19979
2020-04-10,PR,PR,725
2020-04-10,RI,RI,2015
2020-04-10,SC,SC,3065
2020-04-10,SD,SD,536
2020-04-10,TN,TN,4862
2020-04-10,TX,TX,11671
2020-04-10,UT,UT,2102
2020-04-10,VA,VA,4509
2020-04-10,VI,VI,50
2020-04-10,VT,VT,679
2020-04-10,WA,WA,10224
2020-04-10,WI,WI,3068
2020-04-10,WV,WV,554
2020-04-10,WY,WY,320
2020-04-09,AK,AK,235
2020-04-09,AL,AL,2769
2020-04-09,AR,AR,1119
2020-04-09,AS,AS,0
2020-04-09,AZ,AZ,3018
2020-04-09,CA,CA,18309
2020-04-09,CO,CO,5655
2020-04-09,CT,CT,9784
2020-04-09,DC,DC,1523
2020-04-09,DE,DE,1207
2020-04-09,FL,FL,16364
2020-04-09,GA,GA,10566
2020-04-09,GU,GU,128
2020-04-09,HI,HI,435
2020-04-09,IA,IA,1270
2020-04-09,ID,ID,1232
2020-04-09,IL,IL,16422
2020-04-09,IN,IN,6351
2020-04-09,KS,KS,1106
2020-04-09,KY,KY,1346
2020-04-09,LA,LA,18283
2020-04-09,MA,MA,18941
2020-04-09,MD,MD,6185
2020-04-09,ME,ME,560
2020-04-09,MI,MI,21504
2020-04-09,MN,MN,1242
2020-04-09,MO,MO,3539
2020-04-09,MP,MP,11
2020-04-09,MS,MS,2260
2020-04-09,MT,MT,354
2020-04-09,NC,NC,3651
2020-04-09,ND,ND,269
2020-04-09,NE,NE,567
2020-04-09,NH,NH,788
2020-04-09,NJ,NJ,51027
2020-04-09,NM,NM,865
2020-04-09,NV,NV,2456
2020-04-09,NY,NY,159937
2020-04-09,OH,OH,5512
2020-04-09,OK,OK,1684
2020-04-09,OR,OR,1321
2020-04-09,PA,PA,18228
2020-04-09,PR,PR,683
2020-04-09,RI,RI,1727
2020-04-09,SC,SC,2792
2020-04-09,SD,SD,447
2020-04-09,TN,TN,4634
2020-04-09,TX,TX,10230
2020-04-09,UT,UT,1976
2020-04-09,VA,VA,4042
2020-04-09,VI,VI,46
2020-04-09,VT,VT,628
2020-04-09,WA,WA,9769
2020-04-09,WI,WI,2885
2020-04-09,WV,WV,523
2020-04-09,WY,WY,230
2020-04-08,AK,AK,226
2020-04-08,AL,AL,2369
2020-04-08,AR,AR,1000
2020-04-08,AS,AS,0
2020-04-08,AZ,AZ,2726
2020-04-08,CA,CA,16957
2020-04-08,CO,CO,5429
2020-04-08,CT,CT,7781
2020-04-08,DC,DC,1440
2020-04-08,DE,DE,928
2020-04-08,FL,FL,15455
2020-04-08,GA,GA,9901
2020-04-08,GU,GU,125
2020-04-08,HI,HI,410
2020-04-08,IA,IA,1145
2020-04-08,ID,ID,1210
2020-04-08,IL,IL,15078
2020-04-08,IN,IN,5943
2020-04-08,KS,KS,900
2020-04-08,KY,KY,1149
2020-04-08,LA,LA,17030
2020-04-08,MA,MA,16790
2020-04-08,MD,MD,5529
2020-04-08,ME,ME,537
2020-04-08,MI,MI,20589
2020-04-08,MN,MN,1154
2020-04-08,MO,MO,3327
2020-04-08,MP,MP,11
2020-04-08,MS,MS,2003
2020-04-08,MT,MT,332
2020-04-08,NC,NC,3426
2020-04-08,ND,ND,251
2020-04-08,NE,NE,519
2020-04-08,NH,NH,788
2020-04-08,NJ,NJ,47437
2020-04-08,NM,NM,794
2020-04-08,NV,NV,2318
2020-04-08,NY,NY,149316
2020-04-08,OH,OH,5148
2020-04-08,OK,OK,1524
2020-04-08,OR,OR,1239
2020-04-08,PA,PA,16239
2020-04-08,PR,PR,620
2020-04-08,RI,RI,1450
2020-04-08,SC,SC,2552
2020-04-08,SD,SD,393
2020-04-08,TN,TN,4362
2020-04-08,TX,TX,9353
2020-04-08,UT,UT,1846
2020-04-08,VA,VA,3645
2020-04-08,VI,VI,45
2020-04-08,VT,VT,605
2020-04-08,WA,WA,9506
2020-04-08,WI,WI,2756
2020-04-08,WV,WV,462
2020-04-08,WY,WY,221
2020-04-07,AK,AK,213
2020-04-07,AL,AL,2119
2020-04-07,AR,AR,946
2020-04-07,AS,AS,0
2020-04-07,AZ,AZ,2575
2020-04-07,CA,CA,15865
2020-04-07,CO,CO,5172
2020-04-07,CT,CT,7781
2020-04-07,DC,DC,1211
2020-04-07,DE,DE,928
2020-04-07,FL,FL,14747
2020-04-07,GA,GA,8818
2020-04-07,GU,GU,121
2020-04-07,HI,HI,387
2020-04-07,IA,IA,1048
2020-04-07,ID,ID,1170
2020-04-07,IL,IL,13549
2020-04-07,IN,IN,5507
2020-04-07,KS,KS,900
2020-04-07,KY,KY,1008
2020-04-07,LA,LA,16284
2020-04-07,MA,MA,15202
2020-04-07,MD,MD,4371
2020-04-07,ME,ME,519
2020-04-07,MI,MI,19823
2020-04-07,MN,MN,1069
2020-04-07,MO,MO,3037
2020-04-07,MP,MP,8
2020-04-07,MS,MS,1915
2020-04-07,MT,MT,319
2020-04-07,NC,NC,3221
2020-04-07,ND,ND,237
2020-04-07,NE,NE,447
2020-04-07,NH,NH,715
2020-04-07,NJ,NJ,44416
2020-04-07,NM,NM,686
2020-04-07,NV,NV,2087
2020-04-07,NY,NY,138863
2020-04-07,OH,OH,4782
2020-04-07,OK,OK,1472
2020-04-07,OR,OR,1181
2020-04-07,PA,PA,14559
2020-04-07,PR,PR,573
2020-04-07,RI,RI,1230
2020-04-07,SC,SC,2417
2020-04-07,SD,SD,320
2020-04-07,TN,TN,4138
2020-04-07,TX,TX,8262
2020-04-07,UT,UT,1738
2020-04-07,VA,VA,3333
2020-04-07,VI,VI,43
2020-04-07,VT,VT,575
2020-04-07,WA,WA,9043
2020-04-07,WI,WI,2578
2020-04-07,WV,WV,412
2020-04-07,WY,WY,216
2020-04-06,AK,AK,191
2020-04-06,AL,AL,1968
2020-04-06,AR,AR,875
2020-04-06,AS,AS,0
2020-04-06,AZ,AZ,2456
2020-04-06,CA,CA,14336
2020-04-06,CO,CO,4950
2020-04-06,CT,CT,6906
2020-04-06,DC,DC,1097
2020-04-06,DE,DE,673
2020-04-06,FL,FL,13324
2020-04-06,GA,GA,7314
2020-04-06,GU,GU,113
2020-04-06,HI,HI,371
2020-04-06,IA,IA,946
2020-04-06,ID,ID,1101
2020-04-06,IL,IL,12262
2020-04-06,IN,IN,4944
2020-04-06,KS,KS,845
2020-04-06,KY,KY,955
2020-04-06,LA,LA,14867
2020-04-06,MA,MA,13837
2020-04-06,MD,MD,4045
2020-04-06,ME,ME,499
2020-04-06,MI,MI,18850
2020-04-06,MN,MN,986
2020-04-06,MO,MO,2722
2020-04-06,MP,MP,8
2020-04-06,MS,MS,1738
2020-04-06,MT,MT,299
2020-04-06,NC,NC,2870
2020-04-06,ND,ND,225
2020-04-06,NE,NE,409
2020-04-06,NH,NH,669
2020-04-06,NJ,NJ,41090
2020-04-06,NM,NM,624
2020-04-06,NV,NV,1953
2020-04-06,NY,NY,130689
2020-04-06,OH,OH,4450
2020-04-06,OK,OK,1327
2020-04-06,OR,OR,1132
2020-04-06,PA,PA,12980
2020-04-06,PR,PR,513
2020-04-06,RI,RI,1082
2020-04-06,SC,SC,2049
2020-04-06,SD,SD,288
2020-04-06,TN,TN,3802
2020-04-06,TX,TX,7276
2020-04-06,UT,UT,1675
2020-04-06,VA,VA,2878
2020-04-06,VI,VI,43
2020-04-06,VT,VT,543
2020-04-06,WA,WA,8679
2020-04-06,WI,WI,2440
2020-04-06,WV,WV,345
2020-04-06,WY,WY,210
2020-04-05,AK,AK,185
2020-04-05,AL,AL,1796
2020-04-05,AR,AR,830
2020-04-05,AS,AS,0
2020-04-05,AZ,AZ,2269
2020-04-05,CA,CA,13438
2020-04-05,CO,CO,4565
2020-04-05,CT,CT,5675
2020-04-05,DC,DC,998
2020-04-05,DE,DE,673
2020-04-05,FL,FL,12151
2020-04-05,GA,GA,6647
2020-04-05,GU,GU,112
2020-04-05,HI,HI,351
2020-04-05,IA,IA,868
2020-04-05,ID,ID,1077
2020-04-05,IL,IL,11256
2020-04-05,IN,IN,4411
2020-04-05,KS,KS,747
2020-04-05,KY,KY,917
2020-04-05,LA,LA,13010
2020-04-05,MA,MA,12500
2020-04-05,MD,MD,3609
2020-04-05,ME,ME,470
2020-04-05,MI,MI,17567
2020-04-05,MN,MN,935
2020-04-05,MO,MO,2367
2020-04-05,MP,MP,8
2020-04-05,MS,MS,1638
2020-04-05,MT,MT,286
2020-04-05,NC,NC,2585
2020-04-05,ND,ND,207
2020-04-05,NE,NE,363
2020-04-05,NH,NH,621
2020-04-05,NJ,NJ,37505
2020-04-05,NM,NM,543
2020-04-05,NV,NV,1836
2020-04-05,NY,NY,122031
2020-04-05,OH,OH,4043
2020-04-05,OK,OK,1252
2020-04-05,OR,OR,1068
2020-04-05,PA,PA,11510
2020-04-05,PR,PR,475
2020-04-05,RI,RI,922
2020-04-05,SC,SC,2049
2020-04-05,SD,SD,240
2020-04-05,TN,TN,3633
2020-04-05,TX,TX,6812
2020-04-05,UT,UT,1605
2020-04-05,VA,VA,2637
2020-04-05,VI,VI,42
2020-04-05,VT,VT,512
2020-04-05,WA,WA,8332
2020-04-05,WI,WI,2267
2020-04-05,WV,WV,324
2020-04-05,WY,WY,197
2020-04-04,AK,AK,171
2020-04-04,AL,AL,1580
2020-04-04,AR,AR,743
2020-04-04,AS,AS,0
2020-04-04,AZ,AZ,2019
2020-04-04,CA,CA,12026
2020-04-04,CO,CO,4173
2020-04-04,CT,CT,5276
2020-04-04,DC,DC,902
2020-04-04,DE,DE,593
2020-04-04,FL,FL,11111
2020-04-04,GA,GA,6160
2020-04-04,GU,GU,93
2020-04-04,HI,HI,319
2020-04-04,IA,IA,786
2020-04-04,ID,ID,1013
2020-04-04,IL,IL,10357
2020-04-04,IN,IN,3953
2020-04-04,KS,KS,698
2020-04-04,KY,KY,831
2020-04-04,LA,LA,12496
2020-04-04,MA,MA,11736
2020-04-04,MD,MD,3125
2020-04-04,ME,ME,456
2020-04-04,MI,MI,16395
2020-04-04,MN,MN,865
2020-04-04,MO,MO,2291
2020-04-04,MP,MP,8
2020-04-04,MS,MS,1455
2020-04-04,MT,MT,265
2020-04-04,NC,NC,2402
2020-04-04,ND,ND,186
2020-04-04,NE,NE,321
2020-04-04,NH,NH,540
2020-04-04,NJ,NJ,34124
2020-04-04,NM,NM,495
2020-04-04,NV,NV,1742
2020-04-04,NY,NY,113704
2020-04-04,OH,OH,3739
2020-04-04,OK,OK,1159
2020-04-04,OR,OR,999
2020-04-04,PA,PA,10017
2020-04-04,PR,PR,452
2020-04-04,RI,RI,806
2020-04-04,SC,SC,1917
2020-04-04,SD,SD,212
2020-04-04,TN,TN,3321
2020-04-04,TX,TX,6110
2020-04-04,UT,UT,1428
2020-04-04,VA,VA,2407
2020-04-04,VI,VI,40
2020-04-04,VT,VT,461
2020-04-04,WA,WA,7934
2020-04-04,WI,WI,2112
2020-04-04,WV,WV,282
2020-04-04,WY,WY,187
2020-04-03,AK,AK,157
2020-04-03,AL,AL,1432
2020-04-03,AR,AR,704
2020-04-03,AS,AS,0
2020-04-03,AZ,AZ,1769
2020-04-03,CA,CA,10701
2020-04-03,CO,CO,3728
2020-04-03,CT,CT,4914
2020-04-03,DC,DC,757
2020-04-03,DE,DE,450
2020-04-03,FL,FL,9585
2020-04-03,GA,GA,5831
2020-04-03,GU,GU,84
2020-04-03,HI,HI,285
2020-04-03,IA,IA,699
2020-04-03,ID,ID,891
2020-04-03,IL,IL,8904
2020-04-03,IN,IN,3437
2020-04-03,KS,KS,620
2020-04-03,KY,KY,770
2020-04-03,LA,LA,10297
2020-04-03,MA,MA,10402
2020-04-03,MD,MD,2758
2020-04-03,ME,ME,432
2020-04-03,MI,MI,15252
2020-04-03,MN,MN,789
2020-04-03,MO,MO,2113
2020-04-03,MP,MP,8
2020-04-03,MS,MS,1358
2020-04-03,MT,MT,243
2020-04-03,NC,NC,2093
2020-04-03,ND,ND,173
2020-04-03,NE,NE,279
2020-04-03,NH,NH,479
2020-04-03,NJ,NJ,29895
2020-04-03,NM,NM,403
2020-04-03,NV,NV,1514
2020-04-03,NY,NY,102863
2020-04-03,OH,OH,3312
2020-04-03,OK,OK,988
2020-04-03,OR,OR,899
2020-04-03,PA,PA,8420
2020-04-03,PR,PR,378
2020-04-03,RI,RI,709
2020-04-03,SC,SC,1554
2020-04-03,SD,SD,187
2020-04-03,TN,TN,3067
2020-04-03,TX,TX,5330
2020-04-03,UT,UT,1246
2020-04-03,VA,VA,2012
2020-04-03,VI,VI,38
2020-04-03,VT,VT,389
2020-04-03,WA,WA,7548
2020-04-03,WI,WI,1912
2020-04-03,WV,WV,237
2020-04-03,WY,WY,162
2020-04-02,AK,AK,143
2020-04-02,AL,AL,1233
2020-04-02,AR,AR,643
2020-04-02,AS,AS,0
2020-04-02,AZ,AZ,1598
2020-04-02,CA,CA,9191
2020-04-02,CO,CO,3342
2020-04-02,CT,CT,3824
2020-04-02,DC,DC,653
2020-04-02,DE,DE,393
2020-04-02,FL,FL,8010
2020-04-02,GA,GA,5348
2020-04-02,GU,GU,82
2020-04-02,HI,HI,258
2020-04-02,IA,IA,614
2020-04-02,ID,ID,669
2020-04-02,IL,IL,7695
2020-04-02,IN,IN,3039
2020-04-02,KS,KS,552
2020-04-02,KY,KY,680
2020-04-02,LA,LA,9150
2020-04-02,MA,MA,8966
2020-04-02,MD,MD,2331
2020-04-02,ME,ME,376
2020-04-02,MI,MI,14117
2020-04-02,MN,MN,742
2020-04-02,MO,MO,1834
2020-04-02,MP,MP,8
2020-04-02,MS,MS,1177
2020-04-02,MT,MT,227
2020-04-02,NC,NC,1857
2020-04-02,ND,ND,159
2020-04-02,NE,NE,246
2020-04-02,NH,NH,415
2020-04-02,NJ,NJ,25590
2020-04-02,NM,NM,363
2020-04-02,NV,NV,1458
2020-04-02,NY,NY,92381
2020-04-02,OH,OH,2902
2020-04-02,OK,OK,879
2020-04-02,OR,OR,826
2020-04-02,PA,PA,7016
2020-04-02,PR,PR,316
2020-04-02,RI,RI,657
2020-04-02,SC,SC,1554
2020-04-02,SD,SD,165
2020-04-02,TN,TN,2845
2020-04-02,TX,TX,4669
2020-04-02,UT,UT,1074
2020-04-02,VA,VA,1706
2020-04-02,VI,VI,33
2020-04-02,VT,VT,338
2020-04-02,WA,WA,6962
2020-04-02,WI,WI,1730
2020-04-02,WV,WV,217
2020-04-02,WY,WY,150
2020-04-01,AK,AK,133
2020-04-01,AL,AL,1077
2020-04-01,AR,AR,584
2020-04-01,AS,AS,0
2020-04-01,AZ,AZ,1413
2020-04-01,CA,CA,8155
2020-04-01,CO,CO,2966
2020-04-01,CT,CT,3557
2020-04-01,DC,DC,586
2020-04-01,DE,DE,368
2020-04-01,FL,FL,6955
2020-04-01,GA,GA,4638
2020-04-01,GU,GU,77
2020-04-01,HI,HI,208
2020-04-01,IA,IA,549
2020-04-01,ID,ID,525
2020-04-01,IL,IL,6980
2020-04-01,IN,IN,2565
2020-04-01,KS,KS,482
2020-04-01,KY,KY,591
2020-04-01,LA,LA,6424
2020-04-01,MA,MA,7738
2020-04-01,MD,MD,1985
2020-04-01,ME,ME,344
2020-04-01,MI,MI,12888
2020-04-01,MN,MN,689
2020-04-01,MO,MO,1581
2020-04-01,MP,MP,6
2020-04-01,MS,MS,1073
2020-04-01,MT,MT,208
2020-04-01,NC,NC,1584
2020-04-01,ND,ND,142
2020-04-01,NE,NE,210
2020-04-01,NH,NH,415
2020-04-01,NJ,NJ,22255
2020-04-01,NM,NM,315
2020-04-01,NV,NV,1279
2020-04-01,NY,NY,83712
2020-04-01,OH,OH,2547
2020-04-01,OK,OK,719
2020-04-01,OR,OR,736
2020-04-01,PA,PA,5805
2020-04-01,PR,PR,286
2020-04-01,RI,RI,566
2020-04-01,SC,SC,1293
2020-04-01,SD,SD,129
2020-04-01,TN,TN,2683
2020-04-01,TX,TX,3997
2020-04-01,UT,UT,1012
2020-04-01,VA,VA,1484
2020-04-01,VI,VI,30
2020-04-01,VT,VT,321
2020-04-01,WA,WA,6593
2020-04-01,WI,WI,1550
2020-04-01,WV,WV,191
2020-04-01,WY,WY,130
2020-03-31,AK,AK,119
2020-03-31,AL,AL,981
2020-03-31,AR,AR,523
2020-03-31,AS,AS,0
2020-03-31,AZ,AZ,1289
2020-03-31,CA,CA,7482
2020-03-31,CO,CO,2627
2020-03-31,CT,CT,3128
2020-03-31,DC,DC,495
2020-03-31,DE,DE,319
2020-03-31,FL,FL,6338
2020-03-31,GA,GA,3929
2020-03-31,GU,GU,69
2020-03-31,HI,HI,204
2020-03-31,IA,IA,497
2020-03-31,ID,ID,415
2020-03-31,IL,IL,5994
2020-03-31,IN,IN,2159
2020-03-31,KS,KS,428
2020-03-31,KY,KY,480
2020-03-31,LA,LA,5237
2020-03-31,MA,MA,6620
2020-03-31,MD,MD,1660
2020-03-31,ME,ME,303
2020-03-31,MI,MI,11875
2020-03-31,MN,MN,629
2020-03-31,MO,MO,1327
2020-03-31,MP,MP,2
2020-03-31,MS,MS,937
2020-03-31,MT,MT,184
2020-03-31,NC,NC,1498
2020-03-31,ND,ND,126
2020-03-31,NE,NE,172
2020-03-31,NH,NH,314
2020-03-31,NJ,NJ,18696
2020-03-31,NM,NM,281
2020-03-31,NV,NV,1113
2020-03-31,NY,NY,75795
2020-03-31,OH,OH,2199
2020-03-31,OK,OK,565
2020-03-31,OR,OR,690
2020-03-31,PA,PA,4843
2020-03-31,PR,PR,239
2020-03-31,RI,RI,489
2020-03-31,SC,SC,1083
2020-03-31,SD,SD,108
2020-03-31,TN,TN,2239
2020-03-31,TX,TX,3266
2020-03-31,UT,UT,887
2020-03-31,VA,VA,1250
2020-03-31,VI,VI,30
2020-03-31,VT,VT,293
2020-03-31,WA,WA,6030
2020-03-31,WI,WI,1351
2020-03-31,WV,WV,162
2020-03-31,WY,WY,109
2020-03-30,AK,AK,114
2020-03-30,AL,AL,859
2020-03-30,AR,AR,473
2020-03-30,AS,AS,
2020-03-30,AZ,AZ,1157
2020-03-30,CA,CA,6447
2020-03-30,CO,CO,2627
2020-03-30,CT,CT,2571
2020-03-30,DC,DC,401
2020-03-30,DE,DE,264
2020-03-30,FL,FL,5473
2020-03-30,GA,GA,2809
2020-03-30,GU,GU,58
2020-03-30,HI,HI,175
2020-03-30,IA,IA,424
2020-03-30,ID,ID,310
2020-03-30,IL,IL,5057
2020-03-30,IN,IN,1786
2020-03-30,KS,KS,368
2020-03-30,KY,KY,439
2020-03-30,LA,LA,4025
2020-03-30,MA,MA,5752
2020-03-30,MD,MD,1413
2020-03-30,ME,ME,275
2020-03-30,MI,MI,10901
2020-03-30,MN,MN,576
2020-03-30,MO,MO,1031
2020-03-30,MP,MP,2
2020-03-30,MS,MS,847
2020-03-30,MT,MT,171
2020-03-30,NC,NC,1307
2020-03-30,ND,ND,109
2020-03-30,NE,NE,145
2020-03-30,NH,NH,314
2020-03-30,NJ,NJ,16636
2020-03-30,NM,NM,237
2020-03-30,NV,NV,1008
2020-03-30,NY,NY,66497
2020-03-30,OH,OH,1933
2020-03-30,OK,OK,481
2020-03-30,OR,OR,606
2020-03-30,PA,PA,4087
2020-03-30,PR,PR,174
2020-03-30,RI,RI,402
2020-03-30,SC,SC,925
2020-03-30,SD,SD,101
2020-03-30,TN,TN,1834
2020-03-30,TX,TX,2877
2020-03-30,UT,UT,806
2020-03-30,VA,VA,1020
2020-03-30,VI,VI,30
2020-03-30,VT,VT,256
2020-03-30,WA,WA,5566
2020-03-30,WI,WI,1221
2020-03-30,WV,WV,126
2020-03-30,WY,WY,94
2020-03-29,AK,AK,102
2020-03-29,AL,AL,806
2020-03-29,AR,AR,426
2020-03-29,AS,AS,
2020-03-29,AZ,AZ,919
2020-03-29,CA,CA,5708
2020-03-29,CO,CO,2061
2020-03-29,CT,CT,1993
2020-03-29,DC,DC,342
2020-03-29,DE,DE,232
2020-03-29,FL,FL,4246
2020-03-29,GA,GA,2651
2020-03-29,GU,GU,56
2020-03-29,HI,HI,151
2020-03-29,IA,IA,336
2020-03-29,ID,ID,261
2020-03-29,IL,IL,4596
2020-03-29,IN,IN,1514
2020-03-29,KS,KS,319
2020-03-29,KY,KY,394
2020-03-29,LA,LA,3540
2020-03-29,MA,MA,4955
2020-03-29,MD,MD,1239
2020-03-29,ME,ME,253
2020-03-29,MI,MI,10010
2020-03-29,MN,MN,503
2020-03-29,MO,MO,838
2020-03-29,MP,MP,2
2020-03-29,MS,MS,758
2020-03-29,MT,MT,154
2020-03-29,NC,NC,1040
2020-03-29,ND,ND,98
2020-03-29,NE,NE,108
2020-03-29,NH,NH,214
2020-03-29,NJ,NJ,13386
2020-03-29,NM,NM,237
2020-03-29,NV,NV,738
2020-03-29,NY,NY,59513
2020-03-29,OH,OH,1653
2020-03-29,OK,OK,429
2020-03-29,OR,OR,548
2020-03-29,PA,PA,3394
2020-03-29,PR,PR,127
2020-03-29,RI,RI,294
2020-03-29,SC,SC,774
2020-03-29,SD,SD,90
2020-03-29,TN,TN,1537
2020-03-29,TX,TX,2552
2020-03-29,UT,UT,719
2020-03-29,VA,VA,890
2020-03-29,VI,VI,23
2020-03-29,VT,VT,235
2020-03-29,WA,WA,5102
